name,official_name
growth analysis,Myndigheten för tillväxtpolitiska utvärderingar och analyser
mtua,Myndigheten för tillväxtpolitiska utvärderingar och analyser
tillväxtanalys,Myndigheten för tillväxtpolitiska utvärderingar och analyser
swedish agency for growth policy analysis,Myndigheten för tillväxtpolitiska utvärderingar och analyser
myndigheten för totalförsvarsanalys,Myndigheten för totalförsvarsanalys
swedish agency for defence analysis,Myndigheten för totalförsvarsanalys
mtfa,Myndigheten för totalförsvarsanalys
myndigheten för ungdoms- och civilsamhällesfrågor,Myndigheten för ungdoms- och civilsamhällesfrågor
swedish agency for youth and civil society,Myndigheten för ungdoms- och civilsamhällesfrågor
mucf,Myndigheten för ungdoms- och civilsamhällesfrågor
ungdomsstyrelsen,Myndigheten för ungdoms- och civilsamhällesfrågor
us,Myndigheten för ungdoms- och civilsamhällesfrågor
myndigheten för ungdoms-och civilsamhällesfrågor,Myndigheten för ungdoms- och civilsamhällesfrågor
national board for youth affairs,Myndigheten för ungdoms- och civilsamhällesfrågor
myndigheten för vård- och omsorgsanalys,Myndigheten för vård- och omsorgsanalys
mvoa,Myndigheten för vård- och omsorgsanalys
myndigheten för vårdanalys,Myndigheten för vård- och omsorgsanalys
